url,img,lines,author
https://www.amazon.com/b/?ie=UTF8&node=21216824011&ref_=cct_cg_SHnav2_2b1&pf_rd_p=0b4b41c4-3a43-4ea8-8624-5c61818e900b&pf_rd_r=R8VPSK7W3MV2SHNJ7XY2,https://m.media-amazon.com/images/G/01/us-manual-merchandising/Moen.440x400.MyQ.EN.jpg,Smart Locks and Entry,
https://www.amazon.com/b/?_encoding=UTF8&node=21217034011&ref_=cct_cg_SHnav2_2c1&pf_rd_p=0b4b41c4-3a43-4ea8-8624-5c61818e900b&pf_rd_r=R8VPSK7W3MV2SHNJ7XY2,https://m.media-amazon.com/images/G/01/us-manual-merchandising/Category_tile_TV_400x400_Climate_control_EN.1.jpg,Smart Security Cameras and Systems,
https://www.amazon.com/b/?_encoding=UTF8&node=21217037011&ref_=cct_cg_SHnav2_2d1&pf_rd_p=0b4b41c4-3a43-4ea8-8624-5c61818e900b&pf_rd_r=R8VPSK7W3MV2SHNJ7XY2,https://m.media-amazon.com/images/G/01/us-manual-merchandising/RBS-in-house-Graphics/Enbrighten_EN_400x400_V2.jpg,Smart Plugs and Outlets,
https://www.amazon.com/b/?_encoding=UTF8&node=19185106011&ref_=cct_cg_SHnav2_2e1&pf_rd_p=0b4b41c4-3a43-4ea8-8624-5c61818e900b&pf_rd_r=R8VPSK7W3MV2SHNJ7XY2,https://m.media-amazon.com/images/G/01/us-manual-merchandising/Category_tile_TV_400x400_rework_EN.jpg,New Smart Devices,
https://www.amazon.com/b/ref=SHCC/?_encoding=UTF8&ie=UTF8&node=23528055011&ref_=cct_cg_SHnav2_3a1&pf_rd_p=0b4b41c4-3a43-4ea8-8624-5c61818e900b&pf_rd_r=R8VPSK7W3MV2SHNJ7XY2,https://m.media-amazon.com/images/G/01/SmartHome/Packages/66525_Amazon_categorytile_ClimateControl_400x400_superside_EN_1.png,Climate Control,
https://www.amazon.com/b/?ie=UTF8&node=21217048011&ref_=cct_cg_SHnav2_3b1&pf_rd_p=0b4b41c4-3a43-4ea8-8624-5c61818e900b&pf_rd_r=R8VPSK7W3MV2SHNJ7XY2,https://m.media-amazon.com/images/G/01/us-manual-merchandising/RBS-in-house-Graphics/Moen_ct_400x400_En2.jpg,Smart Detectors and Sensors,
https://www.amazon.com/b/?ie=UTF8&node=21216826011&ref_=cct_cg_SHnav2_3c1&pf_rd_p=0b4b41c4-3a43-4ea8-8624-5c61818e900b&pf_rd_r=R8VPSK7W3MV2SHNJ7XY2,https://m.media-amazon.com/images/G/01/us-manual-merchandising/RBS-in-house-Graphics/he_400x400.jpg,Home Entertainment,
https://www.amazon.com/b/?ie=UTF8&node=21221447011&ref_=cct_cg_SHnav2_3d1&pf_rd_p=0b4b41c4-3a43-4ea8-8624-5c61818e900b&pf_rd_r=R8VPSK7W3MV2SHNJ7XY2,https://m.media-amazon.com/images/G/01/us-manual-merchandising/RBS-in-house-Graphics/pet-en-400.jpg,Smart Pet,
https://www.amazon.com/b/?_encoding=UTF8&node=9818047011&ref=MARS_NAV_desktop_plswitcher_echo&ref_=cct_cg_SHnav2_3e1&pf_rd_p=0b4b41c4-3a43-4ea8-8624-5c61818e900b&pf_rd_r=R8VPSK7W3MV2SHNJ7XY2,https://m.media-amazon.com/images/G/01/us-manual-merchandising/DBS-879-SH-US-EN-LP-tile_440x440.jpg.1.jpg,Voice Assistants and Hubs,
https://www.amazon.com/b/?_encoding=UTF8&node=21217039011&ref_=cct_cg_SHnav2_4a1&pf_rd_p=0b4b41c4-3a43-4ea8-8624-5c61818e900b&pf_rd_r=R8VPSK7W3MV2SHNJ7XY2,https://m.media-amazon.com/images/G/01/us-manual-merchandising/Category_tile_TV_400x400_Kitchen_EN.jpg,Smart Kitchen,
https://www.amazon.com/b/?ie=UTF8&node=21217038011&ref_=cct_cg_SHnav2_4b1&pf_rd_p=0b4b41c4-3a43-4ea8-8624-5c61818e900b&pf_rd_r=R8VPSK7W3MV2SHNJ7XY2,https://m.media-amazon.com/images/G/01/us-manual-merchandising/RBS-in-house-Graphics/vac-en-400.jpg,Vacuum & Mops,
https://www.amazon.com/b/ref=SHLG/?_encoding=UTF8&ie=UTF8&node=21217056011&ref_=cct_cg_SHnav2_4c1&pf_rd_p=0b4b41c4-3a43-4ea8-8624-5c61818e900b&pf_rd_r=R8VPSK7W3MV2SHNJ7XY2,https://m.media-amazon.com/images/G/01/SmartHome/StorefrontRefresh/Round-2/XCM_Manual_1263220_us_homeimprov_smarthome_storefront_400x400-10_f584e116-99e8-45e6-826e-dad464c56dfc.jpg,Smart Lawn and Garden,
https://www.amazon.com/b/ref=SHWN/?_encoding=UTF8&ie=UTF8&node=21217028011&ref_=cct_cg_SHnav2_4d1&pf_rd_p=0b4b41c4-3a43-4ea8-8624-5c61818e900b&pf_rd_r=R8VPSK7W3MV2SHNJ7XY2,https://m.media-amazon.com/images/G/01/us-manual-merchandising/Untitled-5-400x400.jpg,Wifi and Networking,
https://www.amazon.com/b/?_encoding=UTF8&node=21217060011&ref_=cct_cg_SHnav2_4e1&pf_rd_p=0b4b41c4-3a43-4ea8-8624-5c61818e900b&pf_rd_r=R8VPSK7W3MV2SHNJ7XY2,https://m.media-amazon.com/images/G/01/us-manual-merchandising/Category_tile_TV_400x400_Other_Solutions_EN.jpg,Other Solutions,
https://www.amazon.com/stores/VEVOR/page/09A776F6-0EB9-4948-918D-9FF03FC17370/?_encoding=UTF8&ref=SH_BF_Vevor&ref_=cct_cg_SHFeatBrand_4a1&pf_rd_p=fe3be8f8-f33a-45b8-a6cf-b45d112d92e0&pf_rd_r=R8VPSK7W3MV2SHNJ7XY2,https://m.media-amazon.com/images/G/01/AmazonKey/2025/Q2/SmartHome/Vevor_logo.png,Vevor,
https://www.amazon.com/stores/page/58C30BB9-7FC4-4859-ABE0-ED113D1432DF/?_encoding=UTF8&ref=SH_BF_Kwikset&ref_=cct_cg_SHFeatBrand_4b1&pf_rd_p=fe3be8f8-f33a-45b8-a6cf-b45d112d92e0&pf_rd_r=R8VPSK7W3MV2SHNJ7XY2,https://m.media-amazon.com/images/G/01/AmazonKey/2025/Q2/SmartHome/Kwikset_logo.png,Kwikset,
https://www.amazon.com/stores/Chamberlain/page/30C32495-5FC7-4D90-98E4-D6F8C923DA1B/?_encoding=UTF8&ref=SH_BF_Chamberlain&ref_=cct_cg_SHFeatBrand_4c1&pf_rd_p=fe3be8f8-f33a-45b8-a6cf-b45d112d92e0&pf_rd_r=R8VPSK7W3MV2SHNJ7XY2,https://m.media-amazon.com/images/G/01/AmazonKey/2025/Q2/SmartHome/Chamberlain_logo.png,Chamberlain,
https://www.amazon.com/stores/page/E428E2E6-7796-4FD9-8721-70C2F1994394/?_encoding=UTF8&ref=SH_BF_Honeywell&ref_=cct_cg_SHFeatBrand_4d1&pf_rd_p=fe3be8f8-f33a-45b8-a6cf-b45d112d92e0&pf_rd_r=R8VPSK7W3MV2SHNJ7XY2,https://m.media-amazon.com/images/G/01/AmazonKey/2025/Q2/SmartHome/Honeywell_Logo.png,Honeywell,
https://www.amazon.com/stores/SimpliSafe%C2%AE/page/1F18070B-DFCA-40E3-8D4D-FB9DBC1756B5/?_encoding=UTF8&ref=SH_BF_SimpliSafe&ref_=cct_cg_SHFeatBrand_4e1&pf_rd_p=fe3be8f8-f33a-45b8-a6cf-b45d112d92e0&pf_rd_r=R8VPSK7W3MV2SHNJ7XY2,https://m.media-amazon.com/images/G/01/AmazonKey/2025/Q2/SmartHome/SimpliSafe_Logo.png,SimpliSafe,
